PRISM Time Series Data
Locations: 1
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-01-01 - 2019-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Sep-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
Antigo,-89.1145,45.1604,1519.0,2019-01-01,0.00,10.1,18.7,27.2
Antigo,-89.1145,45.1604,1519.0,2019-01-02,0.00,2.9,10.2,17.4
Antigo,-89.1145,45.1604,1519.0,2019-01-03,0.00,12.1,17.1,22.0
Antigo,-89.1145,45.1604,1519.0,2019-01-04,0.00,21.7,28.0,34.2
Antigo,-89.1145,45.1604,1519.0,2019-01-05,0.00,20.7,31.7,42.8
Antigo,-89.1145,45.1604,1519.0,2019-01-06,0.00,21.9,31.2,40.5
Antigo,-89.1145,45.1604,1519.0,2019-01-07,0.32,21.0,25.7,30.3
Antigo,-89.1145,45.1604,1519.0,2019-01-08,0.09,29.9,32.7,35.4
Antigo,-89.1145,45.1604,1519.0,2019-01-09,0.00,9.4,20.3,31.2
Antigo,-89.1145,45.1604,1519.0,2019-01-10,0.00,8.7,10.6,12.4
Antigo,-89.1145,45.1604,1519.0,2019-01-11,0.00,10.5,14.1,17.7
Antigo,-89.1145,45.1604,1519.0,2019-01-12,0.00,14.5,19.8,25.1
Antigo,-89.1145,45.1604,1519.0,2019-01-13,0.00,10.5,16.7,23.0
Antigo,-89.1145,45.1604,1519.0,2019-01-14,0.00,10.8,18.1,25.3
Antigo,-89.1145,45.1604,1519.0,2019-01-15,0.00,23.3,25.5,27.7
Antigo,-89.1145,45.1604,1519.0,2019-01-16,0.00,11.9,19.5,27.0
Antigo,-89.1145,45.1604,1519.0,2019-01-17,0.00,4.4,10.9,17.4
Antigo,-89.1145,45.1604,1519.0,2019-01-18,0.03,-2.1,9.3,20.7
Antigo,-89.1145,45.1604,1519.0,2019-01-19,0.00,-4.6,3.3,11.2
Antigo,-89.1145,45.1604,1519.0,2019-01-20,0.00,-7.5,1.4,10.3
Antigo,-89.1145,45.1604,1519.0,2019-01-21,0.00,-15.6,-5.6,4.4
Antigo,-89.1145,45.1604,1519.0,2019-01-22,0.00,-16.1,-0.1,15.9
Antigo,-89.1145,45.1604,1519.0,2019-01-23,0.14,11.6,13.8,16.0
Antigo,-89.1145,45.1604,1519.0,2019-01-24,0.09,7.3,13.3,19.3
Antigo,-89.1145,45.1604,1519.0,2019-01-25,0.06,-13.2,1.7,16.6
Antigo,-89.1145,45.1604,1519.0,2019-01-26,0.00,-25.0,-14.1,-3.2
Antigo,-89.1145,45.1604,1519.0,2019-01-27,0.00,-24.5,-10.8,2.9
Antigo,-89.1145,45.1604,1519.0,2019-01-28,0.18,-15.9,-7.8,0.3
Antigo,-89.1145,45.1604,1519.0,2019-01-29,0.09,-11.2,-4.3,2.6
Antigo,-89.1145,45.1604,1519.0,2019-01-30,0.00,-24.6,-14.4,-4.2
Antigo,-89.1145,45.1604,1519.0,2019-01-31,0.00,-28.5,-17.5,-6.5
Antigo,-89.1145,45.1604,1519.0,2019-02-01,0.00,-28.4,-16.8,-5.2
Antigo,-89.1145,45.1604,1519.0,2019-02-02,0.00,-14.0,-1.2,11.6
Antigo,-89.1145,45.1604,1519.0,2019-02-03,0.00,8.9,20.8,32.7
Antigo,-89.1145,45.1604,1519.0,2019-02-04,0.24,30.2,33.9,37.5
Antigo,-89.1145,45.1604,1519.0,2019-02-05,0.09,9.7,21.0,32.4
Antigo,-89.1145,45.1604,1519.0,2019-02-06,0.48,7.9,10.4,12.9
Antigo,-89.1145,45.1604,1519.0,2019-02-07,0.06,13.9,18.3,22.8
Antigo,-89.1145,45.1604,1519.0,2019-02-08,0.42,-3.1,8.4,19.8
Antigo,-89.1145,45.1604,1519.0,2019-02-09,0.00,-21.7,-9.6,2.6
Antigo,-89.1145,45.1604,1519.0,2019-02-10,0.00,-22.1,-7.0,8.1
Antigo,-89.1145,45.1604,1519.0,2019-02-11,0.23,4.9,9.8,14.6
Antigo,-89.1145,45.1604,1519.0,2019-02-12,0.28,7.0,13.9,20.8
Antigo,-89.1145,45.1604,1519.0,2019-02-13,0.58,13.2,16.1,18.9
Antigo,-89.1145,45.1604,1519.0,2019-02-14,0.00,6.0,15.4,24.9
Antigo,-89.1145,45.1604,1519.0,2019-02-15,0.06,0.7,14.5,28.4
Antigo,-89.1145,45.1604,1519.0,2019-02-16,0.00,-11.0,3.5,18.1
Antigo,-89.1145,45.1604,1519.0,2019-02-17,0.00,-9.0,6.1,21.1
Antigo,-89.1145,45.1604,1519.0,2019-02-18,0.00,0.1,9.8,19.5
Antigo,-89.1145,45.1604,1519.0,2019-02-19,0.00,-16.3,0.7,17.7
Antigo,-89.1145,45.1604,1519.0,2019-02-20,0.02,-17.4,1.6,20.7
Antigo,-89.1145,45.1604,1519.0,2019-02-21,0.29,15.0,20.4,25.7
Antigo,-89.1145,45.1604,1519.0,2019-02-22,0.00,-5.5,9.2,23.9
Antigo,-89.1145,45.1604,1519.0,2019-02-23,0.06,-4.0,12.9,29.8
Antigo,-89.1145,45.1604,1519.0,2019-02-24,0.77,23.4,26.5,29.7
Antigo,-89.1145,45.1604,1519.0,2019-02-25,0.03,-10.1,7.7,25.5
Antigo,-89.1145,45.1604,1519.0,2019-02-26,0.00,-12.4,-2.9,6.7
Antigo,-89.1145,45.1604,1519.0,2019-02-27,0.21,-6.9,0.4,7.7
Antigo,-89.1145,45.1604,1519.0,2019-02-28,0.01,-19.8,-2.4,15.1
Antigo,-89.1145,45.1604,1519.0,2019-03-01,0.00,-19.7,0.2,20.0
Antigo,-89.1145,45.1604,1519.0,2019-03-02,0.15,-12.9,6.5,25.9
Antigo,-89.1145,45.1604,1519.0,2019-03-03,0.00,-13.9,4.6,23.1
Antigo,-89.1145,45.1604,1519.0,2019-03-04,0.00,-19.2,-7.3,4.7
Antigo,-89.1145,45.1604,1519.0,2019-03-05,0.00,-18.9,-8.5,1.8
Antigo,-89.1145,45.1604,1519.0,2019-03-06,0.00,-21.4,-6.1,9.2
Antigo,-89.1145,45.1604,1519.0,2019-03-07,0.00,-20.9,-1.5,17.9
Antigo,-89.1145,45.1604,1519.0,2019-03-08,0.00,-18.6,1.2,21.0
Antigo,-89.1145,45.1604,1519.0,2019-03-09,0.00,-9.2,11.4,31.9
Antigo,-89.1145,45.1604,1519.0,2019-03-10,0.19,13.8,23.3,32.7
Antigo,-89.1145,45.1604,1519.0,2019-03-11,0.00,11.4,22.5,33.6
Antigo,-89.1145,45.1604,1519.0,2019-03-12,0.00,-1.3,14.5,30.2
Antigo,-89.1145,45.1604,1519.0,2019-03-13,0.21,-2.0,19.6,41.2
Antigo,-89.1145,45.1604,1519.0,2019-03-14,0.10,33.7,37.0,40.4
Antigo,-89.1145,45.1604,1519.0,2019-03-15,0.44,30.4,38.9,47.3
Antigo,-89.1145,45.1604,1519.0,2019-03-16,0.00,20.2,24.9,29.6
Antigo,-89.1145,45.1604,1519.0,2019-03-17,0.00,12.5,22.5,32.6
Antigo,-89.1145,45.1604,1519.0,2019-03-18,0.00,11.3,23.3,35.2
Antigo,-89.1145,45.1604,1519.0,2019-03-19,0.00,12.2,24.5,36.7
Antigo,-89.1145,45.1604,1519.0,2019-03-20,0.00,18.7,29.9,41.0
Antigo,-89.1145,45.1604,1519.0,2019-03-21,0.00,31.4,33.4,35.5
Antigo,-89.1145,45.1604,1519.0,2019-03-22,0.00,29.6,36.5,43.4
Antigo,-89.1145,45.1604,1519.0,2019-03-23,0.00,15.0,26.2,37.3
Antigo,-89.1145,45.1604,1519.0,2019-03-24,0.00,15.5,29.9,44.3
Antigo,-89.1145,45.1604,1519.0,2019-03-25,0.00,14.1,27.1,40.1
Antigo,-89.1145,45.1604,1519.0,2019-03-26,0.00,13.7,26.2,38.8
Antigo,-89.1145,45.1604,1519.0,2019-03-27,0.00,14.7,28.4,42.1
Antigo,-89.1145,45.1604,1519.0,2019-03-28,0.00,34.3,42.3,50.3
Antigo,-89.1145,45.1604,1519.0,2019-03-29,0.00,22.2,34.0,45.8
Antigo,-89.1145,45.1604,1519.0,2019-03-30,0.00,22.4,32.5,42.6
Antigo,-89.1145,45.1604,1519.0,2019-03-31,0.00,18.7,24.3,29.9
Antigo,-89.1145,45.1604,1519.0,2019-04-01,0.00,16.5,24.5,32.5
Antigo,-89.1145,45.1604,1519.0,2019-04-02,0.09,23.3,29.5,35.9
Antigo,-89.1145,45.1604,1519.0,2019-04-03,0.00,26.2,35.7,45.2
Antigo,-89.1145,45.1604,1519.0,2019-04-04,0.00,22.6,31.9,41.4
Antigo,-89.1145,45.1604,1519.0,2019-04-05,0.19,24.1,32.4,40.8
Antigo,-89.1145,45.1604,1519.0,2019-04-06,0.00,30.5,39.0,47.6
Antigo,-89.1145,45.1604,1519.0,2019-04-07,0.13,37.5,40.8,43.8
Antigo,-89.1145,45.1604,1519.0,2019-04-08,0.33,38.5,45.9,53.3
Antigo,-89.1145,45.1604,1519.0,2019-04-09,0.06,34.3,47.9,61.8
Antigo,-89.1145,45.1604,1519.0,2019-04-10,0.00,28.9,36.1,43.7
Antigo,-89.1145,45.1604,1519.0,2019-04-11,0.41,26.3,32.4,38.5
Antigo,-89.1145,45.1604,1519.0,2019-04-12,1.02,26.2,28.3,30.5
Antigo,-89.1145,45.1604,1519.0,2019-04-13,0.00,29.8,31.4,33.2
Antigo,-89.1145,45.1604,1519.0,2019-04-14,0.00,25.8,29.6,33.4
Antigo,-89.1145,45.1604,1519.0,2019-04-15,0.00,16.9,30.1,43.2
Antigo,-89.1145,45.1604,1519.0,2019-04-16,0.11,21.5,34.9,47.9
Antigo,-89.1145,45.1604,1519.0,2019-04-17,0.00,34.1,47.1,60.0
Antigo,-89.1145,45.1604,1519.0,2019-04-18,1.35,34.7,42.3,49.7
Antigo,-89.1145,45.1604,1519.0,2019-04-19,0.05,30.4,35.2,40.2
Antigo,-89.1145,45.1604,1519.0,2019-04-20,0.00,25.6,41.4,57.2
Antigo,-89.1145,45.1604,1519.0,2019-04-21,0.00,32.0,48.5,65.0
Antigo,-89.1145,45.1604,1519.0,2019-04-22,0.00,40.7,54.3,68.0
Antigo,-89.1145,45.1604,1519.0,2019-04-23,0.04,37.4,48.8,60.1
Antigo,-89.1145,45.1604,1519.0,2019-04-24,0.00,32.1,45.9,59.6
Antigo,-89.1145,45.1604,1519.0,2019-04-25,0.00,37.4,51.7,66.0
Antigo,-89.1145,45.1604,1519.0,2019-04-26,0.07,37.1,48.0,58.7
Antigo,-89.1145,45.1604,1519.0,2019-04-27,0.00,26.8,40.1,53.5
Antigo,-89.1145,45.1604,1519.0,2019-04-28,0.02,23.1,33.4,43.7
Antigo,-89.1145,45.1604,1519.0,2019-04-29,0.00,30.7,42.9,55.2
Antigo,-89.1145,45.1604,1519.0,2019-04-30,0.16,33.8,35.8,38.0
Antigo,-89.1145,45.1604,1519.0,2019-05-01,0.55,33.6,36.0,38.6
Antigo,-89.1145,45.1604,1519.0,2019-05-02,0.04,34.3,36.6,38.8
